delta1,delta2,delta3,delta4
0009,0008,0041,0074,
0009,0008,0041,0074,
0010,0008,0036,0071,
0007,0008,0036,0071,
0007,0008,0036,0071,
0004,0006,0036,0073,
0004,0006,0036,0071,
0004,0006,0036,0071,
0005,0010,0042,0070,
0005,0009,0041,0070,
0005,0009,0041,0070,
0004,0008,0035,0074,
0004,0008,0035,0074,
0004,0008,0035,0074,
0005,0006,0036,0072,
0005,0006,0036,0070,
0005,0006,0036,0070,
0005,0008,0037,0067,
0006,0009,0037,0067,
0006,0009,0037,0067,
0006,0007,0036,0068,
0006,0007,0036,0068,
0006,0007,0036,0068,
0006,0009,0040,0073,
0006,0008,0040,0072,
0006,0008,0040,0072,
0004,0007,0039,0072,
0004,0007,0039,0075,
0004,0007,0039,0075,
0007,0008,0040,0071,
