delta1,delta2,delta3,delta4
0002,0002,0016,0045,
0000,0002,0014,0040,
0000,0000,0014,0040,
0000,0000,0014,0040,
0001,0000,0019,0046,
0001,0000,0019,0046,
0001,0000,0019,0046,
0005,0003,0016,0043,
0001,0001,0016,0043,
0001,0001,0016,0043,
0001,0001,0018,0049,
0002,0002,0018,0043,
0002,0002,0018,0043,
0002,0002,0015,0042,
0002,0002,0015,0042,
0002,0002,0015,0042,
0003,0002,0015,0043,
0001,0002,0015,0043,
0001,0002,0015,0043,
0001,0002,0010,0044,
0002,0002,0010,0044,
0002,0002,0010,0044,
-001,0002,0019,0045,
-001,0002,0019,0044,
-001,0002,0019,0044,
0001,-001,0020,0044,
0001,-001,0020,0047,
0001,-001,0020,0047,
0002,0002,0014,0043,
0001,0000,0014,0043,
