delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0000,0002,0000,0000,-001,-002,-001,0000,0002
0000,0001,0000,0001,0001,-002,0000,0000,0002
0000,0001,0000,0001,0001,-002,0000,0000,0002
0000,0001,0000,0001,0001,0001,0000,0000,0002
-001,0000,-001,0000,0001,0002,0000,0000,0006
0000,0000,-001,0000,0001,0002,-001,0000,0006
0000,0000,-001,0000,0001,0002,-001,0000,0006
0002,0001,0002,0000,0003,0004,0004,0005,0010
0002,0001,0002,0001,0003,0006,0004,0005,0010
0001,0001,0002,0001,0003,0004,0003,0006,0005
0001,0003,0002,0003,0012,0004,0003,0013,0005
0002,0006,0001,0003,0013,0004,0003,0015,0004
0003,0008,0001,0003,0013,0004,0005,0015,0002
0006,0008,0000,0014,0013,0002,0015,0014,0002
0006,0007,0001,0020,0008,0002,0018,0011,0002
0008,0007,0001,0020,0007,0004,0023,0005,0002
0008,0003,0004,0018,0007,0005,0018,0004,0003
0008,0003,0004,0012,0005,0005,0015,0004,0003
0007,0002,0004,0007,0003,0004,0007,0003,0003
0003,0002,0002,0006,-001,0002,0003,0000,-001
0002,0002,0002,0004,-001,0000,0003,0000,-001
-002,-002,0002,0002,-001,0000,0003,0000,-001
-002,-002,0000,0001,0000,-002,0002,0000,0000
0000,0000,0000,0001,0000,-002,0000,0000,0000
0001,0001,0000,0001,0000,0000,0000,0000,-001
0001,0001,0000,0000,0000,0000,0000,0001,-002
-002,0001,-001,0000,0000,-001,0000,0001,-002
-002,0001,-001,0000,-001,-002,0001,0000,-002
0001,0001,0000,0001,-001,-001,0000,0000,0000
0001,0001,0000,0001,-003,-001,0000,0000,0000
0000,0001,0000,0001,0000,-001,0000,0000,0000
-001,0001,0000,0001,0000,-001,0001,0000,-001
-001,0001,0000,0001,0000,-001,0001,0000,-001
-001,0001,0000,0001,0000,-001,0001,0000,-001
-001,0000,0001,0001,0000,-001,0002,-001,0000
-001,0000,0001,0001,0000,-001,0002,-001,0000
-001,0000,-001,0003,-003,-001,-001,-001,-001
-001,0000,-001,-001,-003,-002,-001,-001,-001
0000,0000,-001,-001,-002,-002,-001,-001,-001
0000,0000,0004,-001,0000,0001,0001,-001,-002
0000,0001,0001,0001,-001,0001,0000,0000,-002
-001,0001,0001,0001,-001,0001,0000,0000,-002
-001,0001,-001,0000,-001,-002,0000,0001,0000
-001,0001,-001,0000,0002,-002,-001,-002,0001
0001,0001,-001,0000,0002,-004,0002,-002,0001
0001,0001,-001,0001,0001,-004,0001,-002,0001
0001,-001,0000,0001,0001,-002,0001,0000,0001
0001,-001,0000,0001,0001,-001,0000,0000,0001
0001,-001,0000,0001,0001,-001,0000,0000,0002
-001,0000,0000,0001,0001,-003,0000,0000,0000
0000,0000,0000,0001,0001,-003,0000,0000,0000
0000,0000,0000,0001,0000,0000,0000,0000,0000
0000,-001,-002,-001,-001,0000,-001,-002,0000
0000,-001,-002,-001,-001,0000,-002,-002,-002
0000,-001,-002,-001,-001,-001,-002,-002,-002
