time,delta0,delta1,delta2,delta3,delta4
0,0028,0019,0041,0060,0051,
1,0031,0022,0047,0062,0055,
2,0050,0039,0063,0092,0081,
3,0050,0039,0063,0092,0081,
4,0027,0018,0037,0058,0054,
5,0026,0018,0037,0054,0050,
6,0021,0018,0035,0049,0050,
7,0011,0006,0015,0024,0026,
8,0011,0006,0015,0024,0026,
9,0011,0006,0015,0024,0026,
10,0008,0004,0010,0013,0013,
11,0008,0004,0010,0013,0013,
12,0008,0004,0010,0013,0013,
13,0008,0002,0008,0007,0005,
14,0008,0002,0008,0007,0005,
15,0008,0002,0008,0007,0005,
16,0001,0001,0000,0005,0003,
17,0001,0001,0000,0005,0003,
18,0001,0001,0000,0005,0003,
19,0007,0003,0005,0002,0000,
20,0008,0003,0005,0002,0000,
21,0008,0003,0005,0002,0000,
22,0001,-001,-003,0004,0002,
23,0001,-001,-003,0004,0002,
24,0001,-001,-003,0004,0002,
25,0003,0000,0000,0001,0000,
26,0003,0000,0000,0001,0000,
27,0003,0000,0000,0001,0000,
28,0002,0001,-001,0006,0004,
29,0002,0001,-001,0005,0004,
