time,delta0,delta1,delta2,delta3,delta4
0,0023,0022,0042,0057,0048,
1,0023,0022,0042,0057,0048,
2,0034,0024,0045,0064,0057,
3,0034,0024,0045,0064,0057,
4,0034,0024,0045,0064,0057,
5,0019,0018,0035,0048,0045,
6,0019,0018,0035,0040,0045,
7,0019,0018,0035,0040,0045,
8,0008,0009,0015,0015,0012,
9,0008,0009,0015,0015,0012,
10,0008,0009,0015,0015,0012,
11,0003,0003,0006,0005,0003,
12,0003,0003,0006,0005,0003,
13,0003,0003,0006,0005,0003,
14,0002,0002,0006,0000,0004,
15,0002,0002,0006,0000,0004,
16,0002,0002,0006,0000,0004,
17,0002,0001,0001,0002,0002,
18,0002,0001,0001,0002,0002,
19,0002,0001,0001,0002,0002,
20,0007,-003,0003,0002,0001,
21,0007,-003,0003,0002,0001,
22,0007,-003,0003,0002,0001,
23,0002,-001,-001,0001,0000,
24,0002,-001,-001,0001,0000,
25,0002,-001,-001,0001,0000,
26,0002,-001,0001,0001,0000,
27,0002,-001,0001,0001,0000,
28,0002,-001,0001,0001,0000,
29,0002,-001,0001,-001,0001,
