delta1,delta2,delta3,delta4
00003,00058,00013,00007
00003,00078,00013,00007
00002,00092,00027,00020
00002,00092,00030,00020
00002,00092,00032,00020
00002,00092,00029,00021
00002,00092,00029,00017
00002,00092,00026,00017
00000,00040,00020,00013
00001,00028,00016,00012
00001,00014,00006,00004
00001,00018,00008,00004
00001,00018,00006,00004
00001,00018,00002,00004
00001,00018,00006,00004
00001,00018,00007,00004
00001,00009,00005,00002
00001,00000,00005,00002
00001,00007,00005,00002
00001,00003,00005,00002
00001,00000,00005,00002
00001,00005,00005,00002
00002,00002,00004,00002
00000,-0001,00000,00001
00000,00005,00004,00003
00001,00001,-0002,-0001
00003,00006,00003,00001
00003,00000,00002,00000
00003,00005,00006,00004
00002,00004,00001,00000
00002,00007,00005,00005
00000,00001,00007,00001
00001,00006,00008,00005
00002,00007,00005,00003
00000,00004,00007,00005
00003,00008,00004,00001
00000,00002,00001,00003
00003,00006,00007,00005
00002,00003,00002,00004
00003,00005,00004,00004
