delta1,delta2,delta3,delta4
00000,00052,00013,00010
00000,00058,00013,00010
00002,00069,00019,00015
00003,00078,00019,00011
00003,00102,00023,00017
00003,00102,00021,00017
00003,00102,00023,00017
00003,00102,00021,00017
00003,00102,00024,00017
00003,00102,00019,00017
00005,00079,00021,00016
00005,00079,00018,00016
00004,00043,00021,00015
00004,00043,00016,00015
00003,00019,00009,00006
00000,00014,00007,00008
00000,00013,00007,00008
00000,00009,00007,00008
00000,00001,00007,00008
00000,00004,00007,00008
00000,00003,00007,00008
00002,00005,00001,00004
00002,00002,00001,00000
00000,-0001,00002,00002
00000,00001,00000,-0001
00000,00004,00003,00001
00001,00004,-0002,00000
00003,00004,00000,-0002
00000,-0001,00001,00000
00003,-0001,00004,00002
-0001,-0001,00003,00002
00000,00004,00003,00002
00002,00000,00001,00001
00001,00006,00003,00003
00002,00005,-0002,00003
00003,00010,00001,00003
00002,00009,00001,00002
00003,00013,00003,00003
00003,00007,00005,00005
00003,00008,00005,00005
