delta0,delta1,delta2,delta3,delta4
0008,0010,0018,0027,0036
0008,0012,0020,0031,0039
0012,0013,0026,0044,0055
0012,0014,0026,0044,0066
0012,0014,0026,0048,0066
0014,0014,0030,0066,0073
0014,0013,0030,0076,0073
0014,0013,0030,0085,0063
0017,0014,0035,0098,0057
0017,0014,0042,0098,0053
0017,0014,0043,0098,0050
0016,0016,0057,0094,0040
0016,0017,0060,0083,0040
0016,0019,0061,0056,0040
0023,0024,0062,0055,0039
0023,0024,0062,0044,0039
0024,0029,0041,0043,0039
0036,0042,0039,0039,0038
0036,0042,0037,0034,0038
0023,0030,0032,0034,0038
0021,0029,0030,0034,0029
0014,0014,0023,0022,0024
0005,0007,0007,0010,0007
0002,0001,0006,0006,0005
0000,-001,-001,-001,0000
0000,-002,-002,-001,-003
-005,-002,-003,-003,-006
-003,-002,-003,-005,-006
-003,-002,-005,-005,-006
-003,-003,-009,-005,-010
