delta0,delta1,delta2,delta3,delta4
0012,0014,0021,0034,0045
0013,0014,0024,0041,0054
0016,0014,0031,0050,0077
0019,0016,0031,0066,0096
0019,0018,0035,0085,0099
0019,0018,0038,0109,0096
0021,0020,0041,0143,0080
0021,0020,0043,0149,0067
0021,0020,0047,0155,0066
0021,0020,0055,0155,0064
0022,0017,0066,0140,0049
0024,0017,0086,0114,0043
0025,0018,0086,0088,0040
0027,0021,0083,0051,0036
0033,0024,0062,0046,0035
0033,0024,0048,0043,0035
0033,0024,0041,0034,0025
0033,0024,0031,0025,0023
0024,0024,0028,0020,0019
0016,0011,0023,0013,0012
0003,0005,0013,0009,0005
-002,0001,0013,0007,-004
-003,0001,0000,-002,-013
-003,0001,-002,-002,-013
-007,-003,-003,-003,-014
-007,-003,-005,-003,-014
-007,-003,-005,-003,-014
-001,-004,-006,-006,-011
-001,-004,-006,-006,-011
-005,-004,-006,-006,-011
