delta0,delta1,delta2,delta3,delta4
0013,0011,0022,0033,0038
0013,0013,0024,0034,0046
0017,0018,0031,0051,0085
0018,0018,0031,0060,0085
0018,0018,0031,0068,0088
0018,0015,0038,0093,0084
0018,0015,0038,0097,0066
0018,0015,0038,0100,0058
0021,0025,0051,0106,0050
0021,0025,0051,0106,0050
0021,0025,0053,0094,0050
0021,0025,0060,0091,0038
0021,0016,0061,0083,0038
0021,0016,0063,0068,0038
0022,0023,0063,0061,0038
0022,0025,0062,0049,0038
0022,0027,0045,0045,0038
0032,0036,0042,0036,0032
0032,0036,0032,0035,0032
0031,0036,0032,0035,0032
0025,0032,0028,0029,0032
0020,0019,0028,0029,0032
0010,0014,0019,0015,0022
0009,0013,0018,0012,0016
0000,0004,0007,0004,0003
0000,0002,0005,0004,0002
-005,-004,-001,-002,-006
-005,-004,-004,-002,-006
-005,-004,-004,-002,-006
-003,-002,-007,-005,-005
