delta0,delta1,delta2,delta3,delta4
0007,0010,0017,0031,0039
0007,0011,0017,0036,0041
0008,0013,0026,0054,0052
0008,0013,0032,0065,0052
0008,0013,0032,0077,0052
0015,0012,0039,0085,0041
0015,0012,0039,0085,0037
0015,0012,0043,0073,0037
0015,0016,0054,0072,0033
0015,0016,0054,0049,0030
0015,0016,0053,0044,0030
0025,0024,0045,0042,0031
0025,0025,0032,0029,0031
0017,0024,0025,0025,0024
0017,0021,0022,0021,0018
0011,0005,0016,0013,0018
0003,0005,0013,0009,0008
0001,0001,0008,0003,0002
-003,0001,0001,-001,0000
-003,0001,0000,-001,0000
-002,0000,-004,-001,-009
-002,0000,-005,-002,-009
-001,-003,-005,-002,-009
-001,-003,-003,-004,-004
-001,-003,-003,-004,-004
0000,-003,0000,-004,-004
-004,-003,-006,-004,-008
-004,-004,-006,-004,-008
-004,-004,-006,-004,-008
-005,-002,-006,-005,-006
