delta0,delta1,delta2,delta3,delta4
0005,0007,0013,0031,0019
0010,0006,0028,0045,0014
0010,0006,0033,0045,0014
0010,0006,0033,0045,0014
0016,0015,0051,0037,0022
0016,0015,0051,0035,0022
0016,0015,0051,0035,0022
0029,0030,0039,0027,0018
0029,0030,0034,0025,0018
0029,0030,0034,0025,0018
0017,0024,0018,0014,0003
0005,0006,0005,0001,-006
0005,0006,0005,0001,-006
-004,-004,-006,-010,-017
-004,-006,-010,-012,-017
-004,-006,-010,-012,-017
-002,-004,-008,-007,-017
-002,-004,-008,-007,-017
-002,-004,-008,-007,-017
0000,-004,-010,-008,-019
0000,-004,-010,-008,-019
0000,-004,-010,-008,-019
-004,-004,-010,-011,-019
-004,-004,-010,-011,-019
-004,-004,-010,-011,-019
-005,-005,-011,-016,-021
-005,-005,-011,-016,-021
-005,-005,-011,-016,-021
-004,-007,-010,-016,-022
-004,-007,-010,-016,-022
