delta0,delta1,delta2,delta3,delta4
0009,0010,0021,0033,0041
0009,0010,0024,0038,0042
0013,0011,0025,0050,0051
0013,0011,0025,0062,0051
0013,0014,0025,0071,0050
0013,0010,0040,0087,0037
0013,0010,0040,0087,0037
0013,0010,0040,0086,0037
0018,0017,0059,0078,0033
0018,0017,0065,0070,0033
0018,0019,0067,0055,0033
0026,0024,0067,0046,0036
0028,0028,0057,0046,0036
0029,0032,0040,0046,0036
0031,0047,0039,0038,0034
0031,0047,0033,0038,0034
0016,0018,0023,0027,0028
0010,0013,0019,0018,0007
0003,0004,0014,0009,0006
-001,0000,0003,0002,0003
-005,-002,0000,-002,-008
-005,-002,0000,-002,-008
-005,-002,-004,-002,-008
-005,-004,-006,-004,-008
-005,-004,-006,-004,-008
-005,-004,-006,-004,-008
-006,-002,-011,-004,-011
-006,-002,-011,-004,-011
-006,-003,-011,-004,-011
-007,-004,-004,-005,-012
