delta0,delta1,delta2,delta3,delta4
0010,0011,0017,0023,0032
0010,0011,0017,0023,0032
0012,0014,0026,0048,0055
0012,0014,0026,0048,0055
0012,0014,0026,0048,0055
0016,0015,0036,0083,0063
0016,0015,0036,0083,0063
0016,0015,0036,0083,0063
0014,0016,0045,0097,0040
0014,0016,0046,0097,0040
0014,0016,0046,0090,0040
0022,0018,0062,0077,0039
0022,0018,0062,0055,0039
0022,0018,0060,0055,0039
0026,0033,0060,0038,0032
0026,0033,0044,0038,0032
0026,0033,0044,0038,0032
0024,0025,0030,0023,0018
0018,0020,0019,0020,0018
0018,0020,0019,0020,0018
0008,0007,0012,0012,0006
0007,0004,-001,0001,-002
0007,0004,-001,0001,-002
-004,-002,-001,-006,-010
-004,-003,-008,-009,-011
-004,-003,-008,-009,-011
-006,-004,-008,-011,-010
-006,-008,-008,-011,-010
-006,-008,-008,-011,-010
-004,-001,-013,-010,-013
