delta0,delta1,delta2,delta3,delta4
0012,0011,0020,0035,0047
0015,0012,0025,0038,0055
0016,0017,0033,0057,0058
0017,0017,0034,0077,0058
0017,0018,0037,0094,0053
0018,0021,0046,0094,0048
0018,0021,0064,0094,0048
0018,0021,0071,0070,0046
0024,0026,0071,0063,0046
0030,0027,0063,0063,0046
0034,0027,0047,0041,0039
0030,0029,0041,0038,0038
0027,0029,0028,0033,0033
0011,0015,0021,0016,0019
0010,0011,0018,0016,0017
0004,0007,0010,0010,0012
0004,0007,0010,0002,0006
0004,0000,0001,0002,0005
0004,0000,0001,0002,0005
0002,0000,-002,0003,0005
-001,0001,-002,0002,-001
-001,0001,-002,0002,-001
-001,0001,0004,-001,-001
-002,0001,0000,-001,0000
-002,0001,0000,-001,0000
-002,0001,0000,-001,0000
-001,-001,-002,0003,0000
-001,-001,-002,0003,0000
0002,-001,-002,0001,0000
0002,-001,-005,-002,-001
