delta0,delta1,delta2,delta3,delta4
0030,0029,0036,0044,0055
0030,0029,0036,0044,0055
0031,0029,0047,0068,0053
0032,0029,0052,0073,0053
0032,0029,0052,0073,0053
0034,0040,0052,0044,0046
0038,0040,0050,0044,0046
0038,0040,0050,0044,0046
0022,0023,0032,0026,0031
0022,0023,0032,0026,0031
0022,0023,0032,0026,0031
0016,0016,0016,0013,0017
0016,0016,0016,0013,0017
0016,0016,0016,0013,0017
0016,0021,0018,0013,0018
0016,0021,0018,0013,0018
0016,0021,0018,0013,0018
0019,0020,0019,0015,0017
0019,0020,0019,0015,0017
0019,0020,0019,0015,0017
0020,0019,0017,0014,0017
0019,0019,0017,0014,0017
0019,0019,0017,0014,0017
0017,0015,0011,0013,0020
0017,0015,0011,0013,0020
0017,0015,0011,0013,0020
0016,0015,0015,0010,0015
0016,0015,0015,0010,0015
0016,0015,0015,0010,0015
0014,0013,0014,0013,0018
