delta0,delta1,delta2,delta3,delta4
0025,0022,0036,0059,0081
0025,0023,0037,0059,0086
0023,0023,0037,0069,0097
0020,0023,0037,0079,0097
0020,0023,0038,0084,0070
0020,0023,0040,0095,0070
0020,0023,0042,0095,0058
0022,0023,0046,0080,0044
0019,0023,0047,0063,0042
0019,0023,0047,0057,0038
0019,0019,0042,0039,0032
0019,0019,0035,0036,0030
0019,0019,0031,0032,0026
0014,0019,0024,0022,0018
0014,0016,0024,0022,0018
0014,0016,0020,0018,0018
0007,0009,0016,0012,0013
0006,0009,0013,0011,0010
0006,0009,0012,0011,0010
0000,0003,0006,0002,0003
0000,0003,0006,0002,0003
0000,0003,0006,0002,0003
0001,0006,-001,0002,0004
0001,0007,-001,0002,0002
0001,0007,-001,0002,0002
0003,0008,0001,-002,0002
0003,0008,0001,-002,0003
0003,0008,0001,-002,0003
-001,0002,0001,0003,0002
-001,0002,0001,0003,0002
