delta0,delta1,delta2,delta3,delta4
0008,0010,0020,0030,0033
0009,0010,0020,0033,0041
0010,0011,0025,0049,0066
0010,0011,0025,0050,0066
0010,0011,0025,0057,0066
0013,0014,0034,0088,0056
0013,0014,0036,0098,0054
0013,0014,0037,0099,0044
0013,0014,0050,0099,0038
0013,0014,0058,0082,0037
0013,0019,0061,0063,0037
0024,0020,0061,0061,0036
0024,0020,0061,0049,0036
0026,0027,0042,0041,0034
0027,0033,0037,0033,0031
0027,0033,0027,0029,0031
0018,0017,0026,0021,0027
0011,0016,0015,0016,0008
0006,0008,0014,0009,0008
0003,0005,0005,0006,0003
0001,-003,-003,-003,-005
0001,-003,-003,-003,-005
-003,-003,-003,-003,-005
-003,-005,-005,-006,-009
-003,-005,-005,-006,-009
-004,-005,-005,-006,-009
-006,-003,-012,-007,-011
-006,-003,-012,-007,-011
-006,-003,-012,-007,-011
-008,-004,-005,-004,-010
