delta1,delta2,delta3,delta4
00002,00003,00001,00003
00001,00003,00002,00004
00002,00004,00003,00004
00002,00004,00001,00006
00001,00003,00004,00006
00002,00003,00003,00005
00002,00004,00003,00008
00002,00003,00001,00005
00004,00005,00005,00010
00004,00005,00004,00009
00004,00006,00004,00009
00003,00006,00007,00010
00003,00005,00007,00012
00004,00007,00009,00017
00007,00008,00014,00024
00007,00008,00014,00024
00007,00008,00014,00020
00015,00016,00021,00018
00015,00016,00021,00018
00015,00016,00018,00018
00013,00013,00014,00011
00002,00016,00015,00007
00006,00012,00010,00007
00005,00008,00007,00008
00004,00007,00009,00004
00005,00008,00007,00005
00004,00007,00006,00006
00005,00007,00005,00004
00001,00005,00003,00004
00000,00003,00003,00004
00002,00006,00002,00004
00002,00004,00002,00004
00001,00003,00001,00003
-0002,00000,00002,00003
00000,00001,00002,00002
-0005,00002,-0004,00007
00001,00002,00001,00003
-0001,00001,00001,00002
-0001,00002,-0001,00001
00000,00001,00000,00002
-0001,00003,00000,00002
00002,00002,00001,00001
-0001,00002,00000,00000
-0003,00003,00000,00000
00001,00003,-0001,00000
-0001,00003,00001,00002
-0002,00000,00001,00000
00000,00003,00001,00001
-0003,00002,00000,00001
00001,00001,-0001,00001
00002,00000,00002,00000
00000,00003,-0001,00002
00000,00002,-0001,00002
00002,00001,00000,00001
00001,00004,-0001,00001
