delta1,delta2,delta3,delta4
00000,00001,00001,00000
00001,00000,-0001,00000
00002,00000,00000,00002
00003,00002,00001,00002
00005,00002,00000,00000
00006,00002,00000,00002
00005,00002,00002,00004
00009,00002,00000,00003
00009,00001,00002,00004
00013,00002,00001,00003
00012,00003,00003,00007
00017,00003,00001,00009
00019,00003,00002,00011
00020,00003,00003,00015
00025,00003,00003,00015
00025,00003,00003,00015
00030,00003,00003,00015
00029,00003,00003,00015
00028,00003,00003,00015
00030,00006,00005,00025
00030,00006,00005,00024
00030,00006,00005,00027
00030,00006,00005,00029
00030,00006,00005,00033
00030,00006,00005,00035
00038,00010,00008,00035
00046,00012,00011,00043
00049,00021,00017,00038
00049,00024,00017,00038
00049,00028,00017,00038
00049,00035,00017,00038
00049,00035,00017,00038
00049,00038,00017,00038
00031,00036,00015,00016
00020,00021,00007,00006
00020,00021,00007,00008
00020,00021,00007,00004
00020,00021,00007,00003
00020,00021,00007,00002
00020,00021,00007,00001
00004,00006,00000,00001
00005,00005,00000,00001
00004,00002,00000,00001
00003,00003,00000,00001
00002,00001,00000,00001
00000,00000,00000,00001
00001,00005,00001,00000
-0001,00001,00000,00001
-0001,00000,00001,-0002
00003,00002,-0001,00000
00000,00002,00001,00000
00001,00001,00001,-0001
00002,00000,00001,00001
00002,00001,-0001,00000
00002,00002,00001,00001
