delta1,delta2,delta3,delta4
-0001,00000,-0008,00003
00000,00001,-0010,00002
-0003,00002,-0009,00002
00002,00005,-0011,-0001
00001,00001,-0010,00003
00003,00001,-0009,00003
00005,00000,-0010,00002
00002,00001,-0008,00006
00001,00000,-0008,00005
00002,00002,-0007,00007
00009,-0004,-0012,00009
00008,00003,-0007,00012
00015,00006,-0004,00019
00014,00008,00004,00021
00014,00008,00004,00027
00014,00008,00004,00021
00014,00008,00004,00021
00014,00008,00004,00022
00014,00008,00004,00013
00014,00015,00001,00013
00012,00012,-0001,00009
00009,00009,-0007,00002
00004,00004,-0008,00002
00000,00000,-0009,00002
00000,00001,-0010,00002
00003,00001,-0009,00000
00001,00003,-0009,00006
-0001,00001,-0010,00001
-0002,-0002,-0008,00000
00009,00000,-0010,00001
00000,00000,-0009,00003
-0002,00000,-0009,00001
00000,00001,-0009,00001
00000,00000,-0009,00002
-0002,00002,-0009,00002
-0001,00001,-0009,00001
-0001,00000,-0010,00001
-0001,00001,-0008,00001
-0002,-0001,-0009,00001
-0002,00000,-0010,00001
-0003,-0002,-0009,00001
00000,00001,-0008,00002
00000,00001,-0011,00002
-0001,00002,-0009,00000
-0003,-0001,-0009,00002
-0002,00001,-0009,-0001
-0002,00001,-0009,00003
-0001,00002,-0010,00002
00000,-0005,-0011,00001
00000,00001,-0008,00002
-0001,00000,-0009,00001
00001,00002,-0010,00001
00001,00000,-0009,00001
-0001,00001,-0010,00000
00000,00001,-0011,00003
