delta1,delta2,delta3,delta4
00002,00002,-0001,00001
00000,00000,-0001,00000
00000,00001,00001,00000
00000,00000,-0002,00000
00001,00001,00000,00001
00002,00003,00000,-0001
00000,00001,00002,00003
00002,00000,00000,00000
00000,00003,00000,-0001
00004,00002,00001,00002
00003,00002,00000,00004
00003,00003,00000,00003
00007,00002,00002,00003
00009,00004,00002,00008
00027,00014,00009,00025
00029,00014,00009,00025
00027,00014,00009,00020
00025,00014,00009,00020
00015,00014,00009,00009
00006,00012,00003,00004
00001,00008,-0002,-0001
00002,00002,00001,00003
00000,00001,00003,00002
00001,00002,00001,00000
00001,00002,00000,00001
00001,00001,00000,00001
00003,00002,-0001,00001
00000,00001,00000,00001
-0002,00001,00000,00001
00001,00002,00000,00000
00001,00002,00000,00001
-0002,00000,00000,00002
-0001,00001,00000,00003
00001,00002,00001,00002
00000,00001,-0001,00002
00000,00002,-0001,00001
00001,00003,00000,00000
-0001,00001,-0001,00001
-0002,00001,00001,00001
00000,00002,00000,00001
00000,00001,00000,00002
00000,00000,00001,00001
00000,00002,00000,00000
-0002,00001,00001,00002
00002,00002,00001,00001
00000,00002,-0001,00000
00001,00002,00000,00001
00000,00001,00000,00001
00000,00001,00002,00003
00001,00002,00000,00000
00000,00001,00000,00000
00002,00001,00000,00001
-0002,00001,00001,00002
00000,00002,00000,00001
00000,00000,00000,00000
