delta0,delta1,delta2,delta3,delta4
0021,0020,0043,0061,0040
0021,0020,0043,0064,0040
0015,0017,0028,0050,0031
0015,0017,0028,0050,0031
0015,0017,0024,0034,0031
0010,0007,0014,0016,0016
0010,0007,0014,0016,0016
0010,0007,0014,0016,0016
0004,0002,0010,0010,0009
0004,0002,0010,0010,0009
0004,0002,0010,0010,0009
0004,0001,0008,0006,0008
0004,0001,0008,0006,0008
0004,0001,0008,0006,0008
0000,0002,0001,0003,0000
0000,0002,0001,0003,0000
0000,0002,0001,0003,0000
0002,0000,0006,-001,0006
0002,0000,0006,-001,0006
0002,0000,0006,-001,0006
0003,-001,0003,0001,0007
0003,-001,0003,0001,0007
0003,-001,0003,0001,0007
0003,0002,0007,0001,0003
0003,0002,0007,0001,0003
0003,0002,0007,0001,0003
0003,-002,0006,0001,0007
0003,-002,0006,0001,0007
0003,-002,0006,0001,0007
-002,-002,-002,0000,0002
