delta0,delta1,delta2,delta3,delta4
0014,0011,0026,0039,0025
0014,0011,0026,0039,0025
0019,0014,0032,0043,0032
0019,0014,0032,0043,0032
0018,0014,0032,0043,0032
0018,0012,0022,0034,0027
0017,0011,0021,0033,0026
0017,0011,0021,0029,0026
0008,0003,0013,0014,0014
0008,0003,0013,0014,0014
0008,0003,0012,0014,0014
0003,0003,0009,0009,0008
0003,0003,0009,0009,0008
0003,0003,0009,0009,0008
-001,0000,0003,0006,0004
-001,0000,0003,0006,0004
-001,0000,0003,0006,0004
0004,-001,0003,0001,0002
0004,-001,0003,0001,0002
0004,-001,0003,0001,0002
-001,0001,0006,0002,0002
-001,0001,0006,0002,0002
-001,0001,0006,0002,0002
0000,-001,0005,0001,0004
0000,-001,0005,0001,0004
0000,-001,0005,0001,0004
0002,-002,0002,0002,0002
0002,-002,0002,0002,0002
0002,-002,0002,0002,0002
-001,0000,-002,0000,-002
