delta0,delta1,delta2,delta3,delta4
0017,0015,0039,0052,0033
0017,0015,0039,0052,0033
0016,0014,0039,0057,0036
0016,0014,0039,0057,0036
0016,0014,0039,0055,0036
0014,0007,0026,0035,0027
0014,0007,0026,0035,0027
0013,0007,0026,0032,0027
0008,0004,0015,0017,0017
0008,0004,0015,0017,0017
0008,0004,0015,0017,0017
0002,0002,0006,0009,0007
0002,0002,0006,0009,0007
0002,0002,0006,0009,0007
-001,-001,0003,-001,0003
-001,-001,0003,-001,0003
-001,-001,0003,-001,0003
0002,0000,0005,0005,0001
0002,0000,0005,0005,0001
0002,0000,0005,0005,0001
-003,-001,0000,0000,-003
-003,-001,0000,0000,-003
-003,-001,0000,0000,-003
0002,0001,0004,-001,0006
0002,0001,0004,-001,0006
0002,0001,0004,-001,0006
-001,-002,-001,-001,-001
-001,-002,-001,-001,-001
-001,-002,-001,-001,-001
0001,0000,0002,-002,0001
