delta0,delta1,delta2,delta3,delta4
0011,0011,0032,0037,0033
0011,0011,0032,0037,0033
0015,0014,0043,0062,0042
0015,0014,0043,0062,0042
0015,0014,0043,0062,0042
0021,0013,0042,0079,0048
0021,0013,0042,0079,0048
0019,0013,0039,0061,0048
0012,0011,0022,0035,0032
0012,0011,0022,0035,0032
0012,0011,0020,0027,0032
0003,0002,0010,0012,0015
0003,0002,0010,0012,0015
0003,0002,0010,0012,0015
-003,-002,0007,0004,0011
-003,-002,0007,0004,0011
-003,-002,0007,0004,0011
-002,0003,0001,0007,0009
-002,0003,0001,0007,0009
-002,0003,0001,0007,0009
-001,0003,0003,0007,0011
-001,0003,0003,0007,0011
-001,0003,0003,0007,0011
-001,-001,-001,0001,0009
-001,-001,-001,0001,0009
-001,-001,-001,0001,0009
0001,-003,0000,0004,0007
0001,-003,0000,0004,0007
0001,-003,0000,0004,0007
-004,0002,0003,0004,0013
