delta0,delta1,delta2,delta3,delta4
0013,0011,0025,0033,0022
0013,0011,0025,0033,0022
0019,0018,0043,0055,0035
0019,0018,0043,0055,0035
0019,0018,0043,0055,0035
0025,0022,0048,0075,0039
0025,0022,0048,0075,0039
0025,0022,0048,0068,0039
0014,0015,0029,0039,0028
0014,0015,0029,0039,0028
0014,0015,0025,0036,0028
0006,0004,0017,0016,0017
0006,0004,0017,0016,0017
0006,0004,0017,0016,0017
0003,0001,0008,0008,0007
0003,0001,0008,0008,0007
0003,0001,0008,0008,0007
0003,0002,0008,0001,0007
0003,0002,0008,0001,0007
0003,0002,0008,0001,0007
0003,0000,0005,-001,0002
0003,0000,0005,-001,0002
0003,0000,0005,-001,0002
0004,0001,0007,0001,0003
0004,0001,0007,0001,0003
0004,0001,0007,0001,0003
0002,0000,-001,0003,0003
0002,0000,-001,0003,0003
0002,0000,-001,0003,0003
0003,0001,0006,-004,0005
