delta0,delta1,delta2,delta3,delta4
0022,0013,0035,0041,0030
0022,0013,0035,0041,0030
0024,0017,0050,0057,0041
0024,0017,0050,0057,0041
0024,0017,0050,0057,0041
0026,0019,0057,0079,0048
0026,0019,0057,0079,0048
0026,0019,0056,0081,0048
0021,0014,0042,0076,0044
0021,0014,0042,0076,0044
0021,0014,0032,0058,0044
0013,0010,0022,0033,0029
0013,0010,0022,0033,0029
0013,0010,0021,0024,0029
0006,0007,0009,0015,0017
0006,0007,0009,0015,0017
0006,0007,0009,0015,0017
0004,-001,0006,0000,0005
0004,-001,0006,0000,0005
0004,-001,0006,0000,0005
0002,-001,0003,0002,0001
0002,-001,0003,0002,0001
0002,-001,0003,0002,0001
0002,-001,0001,-002,0003
0002,-001,0001,-002,0003
0002,0000,0001,-001,0003
-001,0000,0001,0003,-001
-001,0000,0001,0003,-001
-001,0000,0001,0003,-001
0001,0000,-004,0000,0002
