delta0,delta1,delta2,delta3,delta4
0019,0016,0031,0045,0037
0019,0016,0031,0045,0037
0027,0015,0041,0068,0043
0027,0015,0041,0068,0043
0027,0015,0041,0068,0043
0018,0018,0031,0069,0045
0018,0018,0031,0069,0045
0018,0017,0025,0045,0045
0007,0008,0014,0025,0027
0007,0008,0014,0025,0027
0007,0008,0013,0018,0027
0006,0004,0008,0007,0013
0006,0004,0008,0007,0013
0006,0004,0008,0007,0013
0002,0002,0006,0008,0008
0002,0002,0006,0008,0008
0002,0002,0006,0008,0008
0004,0002,-001,0004,0007
0004,0002,-001,0004,0007
0004,0002,-001,0004,0007
-001,0002,0000,0007,0008
0000,0001,0000,0006,0007
0000,0001,0000,0006,0007
0004,-001,0005,0000,0002
0004,-001,0005,0000,0002
0004,-001,0005,0000,0002
0003,0003,0002,0005,0006
0003,0003,0002,0005,0006
0003,0003,0002,0005,0006
0005,-002,0001,-002,0002
