delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
-003,-001,0002,0001,-001,0000,0001,-002,0003
-003,-001,0001,0001,-001,-001,0001,-002,0002
-001,0001,0000,0000,-002,-001,0001,-001,0002
-001,0001,0000,0000,-002,-001,0000,-001,0001
-001,0001,0000,0000,-002,0000,0000,-001,0001
-001,-001,0003,0001,-002,0000,0000,0000,0002
-003,-001,0003,0001,0000,0000,0000,0000,0002
-003,-002,0002,0002,-001,-001,0000,-001,0002
-001,-002,-001,0002,0000,-001,0000,-001,0001
-001,-002,-001,0002,-001,0000,-002,-001,0001
-001,0000,-001,0001,0000,0000,-002,0000,0004
0002,-003,0002,0001,-001,0000,0002,-003,0007
0002,-003,0003,0001,0000,0004,0002,-001,0008
-001,-003,0003,0002,0000,0012,0002,-001,0011
-001,0002,0024,0004,0003,0032,0001,0003,0018
0002,0006,0024,0005,0006,0040,-001,0008,0026
0002,0006,0024,0005,0006,0040,-001,0008,0026
0002,0006,0024,0005,0006,0031,-001,0008,0026
0002,0006,0024,0005,0006,0017,-001,0008,0022
0002,0006,0024,0005,0006,0011,-001,0008,0011
0004,0006,0004,0007,0018,0005,0006,0026,0007
0010,0005,-002,0023,0018,0001,0008,0026,0005
0010,0005,-002,0023,0018,0001,0008,0020,0005
0010,0005,-002,0023,0018,0001,0008,0017,0005
0007,0004,0003,0023,0005,0002,0027,0011,0004
0006,0002,0003,0011,0005,0003,0027,0005,0004
0006,0002,0003,0011,0005,0003,0025,0005,0004
0006,0002,0003,0011,0005,0003,0018,0005,0004
0004,0001,0002,0004,0001,0003,0010,0004,0004
0002,-001,0001,0003,0000,0001,0007,0002,0003
0000,-001,0001,0002,-001,-002,0003,0002,0002
0000,-001,0001,0002,-001,-002,0003,0000,0002
0000,-001,0000,0000,0000,-001,0003,0001,0002
0000,-001,-001,0000,0000,-001,0001,0000,0001
0000,-001,-001,0000,0000,-002,0001,0001,0001
0000,0000,-001,0001,-001,-003,0001,0000,0001
0000,0000,0001,0001,-001,-002,0001,0000,0001
0000,0000,0000,0001,-001,-002,0002,0000,0001
-001,-002,0000,0002,-002,-002,-001,-002,0001
-002,-002,-002,0002,0001,-002,-001,-002,0004
-002,-002,-002,0002,0001,-002,-001,-002,0004
-002,0000,-001,0001,0001,-001,-001,-001,0004
-002,0000,-001,0001,-001,-001,0000,-001,0002
-002,0001,-001,0001,-001,-001,0000,-001,0002
0001,-002,-002,0000,-001,-001,0000,-001,0003
0001,-002,-002,0000,-001,-001,0001,-002,0003
-003,-002,-002,0000,-001,-001,-002,-002,0003
-003,-003,-001,0000,-002,-005,0000,-001,0000
-003,-002,0000,0000,-002,-002,-002,-001,0001
-002,-002,0001,0000,-002,-002,0000,-001,0001
0001,-001,0001,0000,-001,0000,-002,-001,0001
0001,-001,-002,0002,0000,0000,0001,-001,0001
0001,-001,-002,0002,0000,-002,0002,-001,0001
0001,0000,-001,0002,0001,-002,0002,-001,0001
0001,0000,-001,0001,0001,-002,0000,-001,0000
