delta1,delta2,delta3,delta4
00001,00051,00010,00007
00001,00068,00010,00007
00001,00080,00010,00007
00002,00093,00025,00015
00002,00093,00027,00015
00002,00093,00027,00015
00002,00093,00029,00015
00002,00093,00024,00015
00002,00093,00022,00015
00003,00127,00020,00013
00002,00061,00017,00012
00004,00030,00013,00008
00004,00030,00009,00008
00004,00030,00004,00008
00004,00030,00003,00008
00004,00030,00005,00008
00004,00030,00006,00008
00002,00008,00005,00004
00002,00004,00005,00004
00002,00006,00005,00004
00002,00006,00005,00004
00002,00011,00005,00004
00002,00002,00005,00004
00002,00003,00003,00003
00000,-0001,00000,00002
00002,-0002,00002,00003
00000,-0001,00003,00001
00001,00000,00001,00003
00000,-0002,-0001,00001
00000,00003,00003,00004
00000,00001,-0001,00002
00000,00004,00000,00000
-0001,-0002,00000,00002
00004,00003,00005,00003
00001,00000,00000,00003
00002,00001,00001,00002
00000,-0003,00003,00001
00002,00004,00002,00003
00002,00005,-0001,00000
00001,00008,00003,00003
