delta1,delta2,delta3,delta4
00000,00034,00065,00016
00000,00039,00089,00016
00000,00048,00117,00016
00001,00043,00133,00048
00001,00043,00133,00048
00001,00043,00133,00036
00001,00043,00133,00035
00001,00043,00133,00023
00001,00043,00133,00015
00003,00008,00009,00008
00003,00009,00004,00008
00003,00000,00002,00008
00003,00007,00004,00008
00003,00007,00007,00008
00003,00005,00000,00008
00002,00010,00002,00002
-0002,00002,00002,00001
00000,00007,00004,00002
00001,00004,00001,00001
00001,00006,00005,00005
00003,00005,00005,00000
00003,00009,00000,00002
-0001,00005,00003,00005
00000,00004,00005,00005
-0001,00003,00004,00004
00000,00005,00000,00001
-0001,00002,-0003,00001
-0001,00007,00003,00001
00000,00002,-0004,-0002
00001,00008,00001,00000
00002,-0002,-0004,-0001
00002,00006,00003,00001
00000,-0003,00000,00000
-0002,-0001,00004,00005
00000,-0001,00000,00000
-0002,00001,00000,00003
-0001,-0001,-0002,00000
-0002,00002,00000,00001
00000,00000,-0003,-0001
00000,00004,-0004,00000
