delta1,delta2,delta3,delta4
00001,00017,00051,00018
00001,00017,00066,00018
00002,00030,00064,00027
00002,00034,00064,00029
00002,00024,00064,00023
00002,00020,00064,00015
00000,00015,00012,00009
00000,00015,00006,00009
00000,00015,00001,00009
00000,00015,00004,00009
00000,00015,00002,00009
00000,00015,00001,00009
-0002,00007,00005,00006
00000,00002,00000,00000
00002,00004,00003,00001
00003,00006,00002,00000
00001,00007,00001,00001
-0001,00002,00002,00002
00002,00006,00004,00002
00001,-0003,00001,00001
-0001,00006,00005,00004
00000,-0003,-0001,00002
00000,00005,00002,00004
-0001,00001,-0002,-0003
00003,00004,00003,00001
00001,00000,-0004,-0001
-0001,00005,00003,00005
00000,-0003,00000,00000
-0002,00001,00005,00004
00000,-0002,00001,00001
00000,00000,-0002,00001
-0001,-0001,00000,00000
-0001,00001,-0003,-0001
-0002,00000,-0002,00000
00005,-0001,00000,00000
-0001,-0004,-0001,-0002
00000,00002,00000,00000
00000,-0003,00002,00001
-0002,00004,00001,-0001
00002,00001,-0002,00000
