delta1,delta2,delta3,delta4
0009,0015,0019,0027,
0009,0015,0019,0027,
0015,0026,0027,0035,
0015,0026,0030,0035,
0020,0026,0035,0038,
0026,0034,0049,0054,
0026,0036,0053,0054,
0023,0036,0056,0054,
0017,0036,0058,0060,
0016,0030,0058,0060,
0011,0020,0033,0051,
0010,0016,0027,0038,
0005,0006,0014,0021,
0005,0006,0012,0014,
0002,-001,0006,0007,
0002,-001,0006,0007,
0002,-001,0006,0007,
0006,0002,-001,0001,
0006,0002,-001,0001,
0006,0002,-001,0001,
-001,0000,0002,0005,
-001,0000,0002,0005,
-001,0000,0002,0005,
0002,0001,0003,0003,
0002,0001,0003,0003,
0002,0001,0003,0003,
-001,-002,0003,-004,
-001,-002,0003,-004,
-001,-002,0003,-004,
0001,0002,0007,0006,
