delta1,delta2,delta3,delta4
0003,0011,0016,0026,
0003,0014,0016,0026,
0007,0018,0024,0036,
0007,0018,0024,0036,
0007,0018,0024,0036,
0007,0019,0025,0037,
0007,0022,0026,0037,
0007,0022,0026,0037,
0010,0024,0033,0042,
0010,0024,0033,0043,
0004,0024,0033,0043,
0004,0021,0034,0045,
0004,0021,0034,0045,
0009,0021,0034,0045,
0006,0018,0029,0044,
0006,0018,0027,0044,
0002,0018,0021,0037,
0002,0009,0019,0037,
0002,0009,0008,0037,
0002,0006,0008,0028,
-001,0006,0013,0020,
-001,0006,0013,0020,
-001,0003,0013,0020,
-002,0003,0000,0008,
-002,0003,0002,0008,
-002,0004,0002,0008,
-003,0000,0002,0015,
-003,-001,0002,0015,
-003,-001,0002,0012,
-004,0002,0000,0012,
