delta1,delta2,delta3,delta4
0019,0021,0033,0026,
0021,0031,0046,0029,
0026,0035,0053,0034,
0027,0042,0056,0037,
0033,0049,0063,0047,
0033,0049,0070,0052,
0036,0050,0070,0058,
0036,0053,0081,0058,
0036,0054,0081,0059,
0028,0054,0077,0061,
0028,0049,0077,0060,
0028,0048,0075,0060,
0016,0027,0061,0043,
0015,0026,0052,0043,
0015,0022,0041,0031,
0003,0010,0016,0007,
0003,0010,0016,0007,
0002,0010,0013,0007,
0000,0007,0005,-004,
0000,0007,0005,-004,
0000,0007,0005,-004,
-004,-001,0000,-004,
-004,-001,0000,-004,
-004,0001,0000,-002,
-002,0001,0006,0003,
-002,0001,0006,0003,
-002,-001,0006,0003,
-001,0005,0000,-001,
-001,0005,0000,-001,
-001,0005,0000,-001,
