delta1,delta2,delta3,delta4
0013,0020,0031,0031,
0013,0023,0032,0031,
0015,0024,0038,0042,
0015,0024,0038,0042,
0016,0024,0038,0045,
0016,0027,0044,0048,
0016,0027,0044,0048,
0008,0016,0022,0027,
0005,0010,0021,0027,
0002,0008,0010,0010,
0002,0007,0010,0010,
0005,0003,0002,0007,
0005,0003,0002,0007,
0005,0003,0002,0007,
0002,0000,0003,0001,
0002,-003,0003,0001,
0002,-003,0003,0001,
0003,0001,0002,0003,
0003,0001,0002,0003,
0003,0001,0002,0001,
0004,0003,-002,-002,
0004,0003,-002,-002,
0004,0003,-002,-002,
0001,0003,-001,-003,
0001,0003,-001,-003,
0001,0003,-001,-003,
-001,-001,0001,0004,
-001,-001,0001,0004,
-001,-001,0001,0004,
-001,0000,0005,-004,
