delta1,delta2,delta3,delta4
0017,0021,0027,0032,
0017,0021,0030,0037,
0023,0041,0046,0049,
0023,0041,0046,0049,
0026,0042,0052,0051,
0028,0051,0075,0070,
0028,0051,0075,0070,
0028,0051,0075,0072,
0022,0038,0066,0066,
0022,0038,0066,0066,
0017,0023,0042,0044,
0009,0019,0038,0030,
0009,0010,0024,0030,
0006,0010,0018,0016,
0006,0007,0006,0006,
0006,0007,0006,0006,
0004,0007,0006,0006,
0003,0004,0004,0005,
0003,0004,0004,0005,
0003,0004,0004,0005,
0001,0003,0005,0004,
0001,0003,0005,0004,
0001,0003,0005,0004,
0003,0004,0000,0004,
0003,0004,0000,0004,
0004,0004,0000,0004,
0001,0000,0002,0007,
0001,0000,0002,0007,
0001,0000,0002,0005,
-002,0000,0000,0004,
