delta1,delta2,delta3,delta4
0009,0027,0034,0025,
0012,0026,0033,0024,
0019,0036,0052,0040,
0019,0036,0052,0040,
0025,0037,0057,0040,
0034,0057,0081,0061,
0034,0057,0081,0061,
0034,0059,0086,0061,
0027,0070,0114,0076,
0027,0070,0118,0076,
0027,0070,0118,0076,
0027,0057,0119,0086,
0027,0057,0119,0086,
0027,0057,0119,0086,
0009,0028,0069,0063,
0009,0028,0063,0063,
0009,0028,0055,0054,
0009,0011,0015,0017,
0009,0011,0015,0017,
0009,0011,0013,0017,
-007,-002,-008,-011,
-007,-002,-008,-011,
-007,-002,-008,-011,
-006,-010,-007,-010,
-006,-010,-007,-010,
-006,-010,-007,-010,
-007,-010,-009,-010,
-007,-010,-009,-010,
-007,-010,-009,-010,
-008,-008,-009,-014,
