delta1,delta2,delta3,delta4
0016,0024,0024,0031,
0016,0024,0025,0031,
0026,0034,0039,0044,
0026,0035,0039,0044,
0029,0036,0039,0045,
0034,0051,0051,0049,
0034,0051,0054,0049,
0036,0054,0055,0049,
0033,0059,0081,0068,
0033,0059,0081,0068,
0033,0060,0083,0068,
0037,0056,0102,0086,
0037,0056,0102,0086,
0037,0056,0098,0094,
0037,0052,0088,0086,
0034,0052,0087,0086,
0034,0052,0079,0084,
0030,0046,0077,0080,
0030,0046,0062,0074,
0024,0037,0062,0060,
0020,0032,0051,0054,
0020,0030,0051,0052,
0014,0025,0042,0039,
0011,0017,0032,0036,
0011,0017,0026,0033,
0011,0012,0018,0027,
0009,0007,0012,0012,
0009,0007,0007,0011,
0008,0006,0007,0011,
0001,0001,0006,0006,
