delta1,delta2,delta3,delta4
0014,0015,0022,0028,
0014,0016,0025,0028,
0019,0033,0038,0045,
0019,0033,0038,0045,
0019,0035,0050,0048,
0024,0036,0058,0064,
0024,0036,0058,0064,
0024,0036,0058,0064,
0027,0035,0058,0057,
0027,0035,0058,0057,
0027,0035,0055,0056,
0021,0030,0054,0052,
0021,0030,0054,0052,
0018,0023,0044,0051,
0012,0018,0031,0038,
0012,0015,0030,0038,
0010,0008,0012,0024,
0002,0007,0003,0009,
0002,0007,0003,0009,
0002,0007,0003,0009,
0000,0005,0005,0002,
0000,0005,0005,0002,
0000,0004,0005,0002,
0001,0004,-001,0003,
0001,0004,-001,0003,
0001,0001,-001,0003,
0004,-004,0005,0005,
0004,-004,0005,0005,
0004,-004,0006,0005,
-002,0000,0001,0001,
