delta1,delta2,delta3,delta4
0010,0017,0027,0033,
0010,0021,0029,0034,
0017,0032,0046,0044,
0017,0032,0046,0044,
0023,0032,0046,0048,
0033,0047,0069,0066,
0033,0047,0069,0066,
0031,0047,0069,0071,
0018,0046,0078,0071,
0018,0037,0078,0071,
0016,0023,0048,0063,
0007,0021,0039,0044,
0007,0009,0019,0028,
0005,0009,0014,0017,
0001,0001,0003,0004,
0001,0001,0003,0004,
0001,0001,0003,0004,
-002,0002,0003,-001,
-002,0002,0003,-001,
-002,0001,0003,-001,
-002,-004,-008,0000,
-002,-004,-008,0000,
-002,-004,-008,0000,
-003,-001,0011,0002,
-003,-001,0011,0002,
-003,-001,0006,0002,
-002,0002,0002,-001,
-002,0002,0002,-001,
-002,0003,0002,-001,
-003,0004,0011,0004,
