delta1,delta2,delta3,delta4
0020,0024,0034,0030,
0020,0024,0034,0030,
0020,0035,0047,0042,
0020,0036,0053,0042,
0020,0039,0054,0042,
0026,0045,0069,0057,
0028,0048,0071,0058,
0028,0051,0077,0058,
0044,0056,0083,0077,
0044,0058,0083,0077,
0044,0059,0083,0078,
0046,0064,0085,0074,
0046,0069,0096,0074,
0046,0070,0098,0074,
0040,0070,0108,0080,
0035,0058,0109,0080,
0035,0058,0109,0080,
0035,0055,0114,0080,
0035,0055,0114,0081,
0028,0049,0100,0081,
0022,0048,0088,0081,
0015,0029,0058,0063,
0008,0026,0047,0037,
0008,0025,0036,0034,
0008,0016,0028,0018,
0008,0016,0025,0018,
0008,0010,0014,0010,
-006,0010,0005,-002,
-006,0007,0005,-002,
-004,0007,0005,-002,
