delta1,delta2,delta3,delta4
0011,0022,0026,0032,
0011,0025,0026,0032,
0016,0026,0038,0040,
0016,0027,0038,0040,
0016,0027,0038,0047,
0016,0035,0052,0049,
0016,0035,0052,0049,
0016,0030,0052,0039,
0014,0027,0043,0037,
0014,0023,0030,0034,
0007,0012,0019,0025,
0002,0011,0017,0020,
0001,0006,0008,0010,
0001,0006,0008,0010,
0000,0002,0004,0006,
0000,0004,0004,0004,
0000,0004,0004,0004,
-003,0004,0003,0006,
-003,0002,0003,0006,
-003,0002,0003,0006,
0001,0005,0007,0005,
0001,0005,0007,0005,
0001,0005,0005,0005,
-002,0000,-002,0004,
-002,-004,-002,0004,
-002,-004,-002,0004,
0001,0003,0000,0001,
0001,0003,0000,0001,
0001,0002,0000,0001,
0000,0002,-003,0004,
