delta1,delta2,delta3,delta4
0011,0023,0027,0021,
0012,0024,0034,0024,
0012,0026,0034,0028,
0012,0026,0040,0028,
0020,0033,0047,0034,
0022,0033,0047,0034,
0022,0033,0047,0034,
0015,0026,0046,0034,
0015,0026,0046,0030,
0015,0026,0046,0030,
0010,0020,0029,0024,
0008,0019,0029,0018,
0008,0016,0024,0018,
0002,0006,0010,0007,
0002,0006,0010,0007,
0002,0006,0010,0007,
0002,0007,0006,0000,
0002,0007,0006,0000,
0002,0007,0006,0000,
0003,0003,0002,0004,
0001,0003,0002,0004,
0001,0003,0004,0004,
0001,0003,0007,0002,
0001,0007,0007,0002,
0001,0007,0007,0002,
0002,0002,0002,0000,
0002,0002,0002,0000,
0002,0002,0002,0000,
0002,0004,0004,0000,
0001,0004,0004,0000,
