delta1,delta2,delta3,delta4
0014,0021,0028,0027,
0014,0022,0028,0027,
0016,0026,0035,0043,
0016,0026,0037,0043,
0020,0029,0037,0044,
0019,0033,0046,0048,
0019,0033,0046,0048,
0019,0033,0049,0050,
0017,0026,0045,0047,
0012,0026,0045,0047,
0012,0024,0039,0047,
0011,0021,0035,0034,
0011,0017,0026,0034,
0004,0009,0017,0020,
0004,0004,0014,0011,
0004,0004,0008,0007,
0006,0004,0008,0007,
0002,0003,0008,0009,
0002,0003,0008,0009,
0002,0003,0008,0009,
0005,0000,0007,0009,
0005,0000,0007,0009,
0002,0000,0007,0009,
0001,0004,0004,0002,
0001,0004,0004,0002,
0001,0007,0004,0002,
0003,0003,0002,0004,
0003,0003,0002,0004,
0004,0000,0002,0004,
-001,-001,0001,-001,
