delta1,delta2,delta3,delta4
0012,0016,0027,0030,
0012,0016,0027,0030,
0012,0020,0034,0033,
0012,0020,0034,0033,
0012,0020,0029,0033,
0009,0021,0025,0029,
0009,0021,0025,0029,
0008,0020,0023,0021,
0005,0007,0015,0018,
0005,0006,0015,0018,
0005,0006,0013,0015,
0004,0003,0007,0007,
0004,0002,0005,0007,
0004,0002,0005,0007,
0002,0002,0003,0006,
0002,0002,0003,0006,
0002,0002,0003,0006,
0003,0005,-002,0003,
0003,0005,-002,0003,
0003,0006,-002,0003,
0002,0002,0000,0004,
0002,0002,0000,0004,
0002,0002,0000,0004,
0004,0000,-003,-003,
0004,0000,-003,-003,
0005,0000,-003,-003,
0000,-001,0004,-001,
0000,-001,0004,-001,
0000,-001,0004,-001,
0002,0005,0007,0003,
