delta1,delta2,delta3,delta4
0018,0026,0038,0041,
0018,0032,0038,0041,
0017,0024,0047,0047,
0014,0023,0047,0047,
0009,0017,0026,0032,
0006,0009,0021,0026,
0004,0005,0009,0019,
0004,0004,0009,0010,
0004,0004,0001,0003,
0004,0004,0001,0003,
0004,0005,0001,0003,
-002,0000,0002,0001,
-002,0000,0002,0001,
-002,0000,0002,0001,
0002,-002,0000,-002,
0002,-002,0000,-002,
0002,-002,0000,-002,
0000,-001,0002,0006,
0000,-001,0002,0006,
0000,-001,0002,0006,
-001,0001,-003,0008,
-001,0001,-003,0008,
-001,0001,-003,0003,
0003,0004,0008,0002,
0003,0004,0008,0002,
0002,0004,0008,0002,
0002,0002,0002,0004,
0002,0002,0002,0004,
0002,0002,0002,0005,
-001,-006,0001,0002,
