delta1,delta2,delta3,delta4
-002,0014,0018,0033,
-002,0018,0018,0033,
0000,0020,0030,0048,
0002,0022,0032,0048,
0002,0022,0036,0048,
0007,0030,0043,0054,
0007,0030,0045,0054,
0009,0030,0045,0054,
0003,0027,0046,0055,
-001,0020,0046,0055,
-001,0020,0040,0049,
-005,0012,0036,0045,
-009,0018,0012,0028,
-009,0007,0010,0020,
-014,0004,0009,0020,
-013,0000,0004,0020,
-013,0000,0004,0020,
-013,0000,0004,0013,
-012,0002,0001,0013,
-012,0002,0001,0013,
-012,0002,0001,0009,
-012,0001,0001,0009,
-012,0001,0001,0009,
-011,0001,0000,0011,
-011,0001,-001,0011,
-011,0003,-001,0011,
-014,-002,0001,0010,
-014,-002,0003,0010,
-014,-002,0003,0010,
-013,-002,0003,0010,
