delta1,delta2,delta3,delta4
0015,0022,0027,0033,
0018,0025,0027,0033,
0020,0036,0043,0048,
0020,0036,0043,0048,
0024,0037,0045,0048,
0027,0039,0056,0056,
0027,0039,0059,0056,
0025,0041,0059,0056,
0020,0037,0059,0060,
0020,0034,0059,0060,
0012,0019,0041,0042,
0011,0018,0040,0040,
0006,0003,0012,0019,
0006,0003,0011,0019,
0003,0001,0005,0012,
0003,0001,0002,0004,
0003,0001,0002,0004,
0005,0001,0002,0006,
0005,0001,0002,0006,
0005,0001,0002,0006,
-002,0002,0001,0005,
-002,0002,-001,0005,
-002,0002,-001,0005,
0003,0001,0003,0002,
0003,0001,0003,0002,
0002,0001,0003,0002,
0000,0001,0001,0002,
0000,0001,0001,0002,
0000,0001,0001,0002,
0004,0002,0001,0000,
