delta1,delta2,delta3,delta4
0007,0018,0027,0015,
0007,0023,0033,0017,
0017,0026,0040,0037,
0017,0026,0040,0037,
0017,0032,0045,0037,
0023,0041,0061,0037,
0023,0044,0061,0037,
0023,0044,0061,0038,
0020,0037,0067,0047,
0020,0037,0067,0047,
0020,0037,0067,0047,
0011,0018,0051,0040,
0011,0018,0043,0040,
0010,0018,0040,0039,
0001,0001,0010,0002,
0001,0001,0010,0002,
0001,0001,0010,0002,
-002,0000,0002,0004,
-002,0000,0002,0004,
-002,0000,0002,0004,
-003,-006,-002,-002,
-003,-006,-002,-002,
-003,-006,-002,-002,
0001,-006,-005,-007,
0001,-006,-005,-007,
0001,-006,-005,-006,
0001,-008,-005,-006,
0001,-008,-005,-006,
0001,-008,-005,-005,
-003,-002,-003,-005,
