delta1,delta2,delta3,delta4
00003,00031,00050,00030
00003,00034,00071,00038
00003,00034,00085,00038
00003,00043,00108,00044
00003,00040,00106,00037
00000,00040,00102,00043
00002,00032,00080,00035
00003,00029,00068,00036
00001,00028,00049,00028
-0001,00024,00037,00025
00001,00019,00022,00016
-0002,00015,00012,00010
-0002,00011,00005,00008
-0002,00009,00005,00006
-0002,00007,00003,00000
-0002,00005,00004,00005
-0002,00007,00000,00003
00000,00007,00003,00001
00002,00008,00006,00002
00001,00002,00006,00003
00000,00003,00002,00004
-0001,00001,00003,00003
00000,00004,00001,00002
00001,00000,00000,00002
00000,00007,00003,00001
00000,00005,00000,00000
-0001,00009,00002,-0001
-0001,00010,-0007,00001
00003,00005,00001,00004
-0001,00003,00004,00004
-0001,00005,00005,00002
-0002,-0002,00003,00004
-0001,00006,00002,00003
-0002,00001,-0001,00000
00001,00009,00005,00001
-0001,-0003,-0001,00001
00000,00006,00000,00004
-0003,00000,-0002,-0001
00001,00008,00001,00000
00003,-0001,-0003,-0002
