delta1,delta2,delta3,delta4
00000,00014,00054,00017
00000,00014,00074,00017
00000,00014,00089,00017
00004,00041,00105,00043
00004,00040,00105,00044
00004,00041,00105,00043
00004,00045,00105,00045
00004,00033,00105,00045
00004,00043,00105,00043
00000,00029,00079,00039
00004,00031,00059,00036
00004,00022,00040,00026
-0002,00018,00023,00022
00002,00011,00011,00010
00002,00008,00006,00007
00002,00003,00003,00000
00002,00005,00001,00004
00002,00000,-0001,00002
00002,00008,00002,00001
00001,-0003,-0001,00001
-0001,00008,00002,00005
-0002,00009,-0003,00000
00002,00009,00001,00001
00000,00009,-0002,00003
00001,00007,-0001,00002
00005,00004,00004,00002
00002,00002,00004,00003
00002,00004,00002,00003
00002,00001,00002,00002
00002,00006,00004,00003
-0001,00001,00001,00002
-0002,00005,00004,00004
-0002,00006,00002,00003
-0001,00006,-0001,00000
00003,00002,00005,00000
00001,00007,00003,00003
00000,-0001,-0001,00002
-0001,00003,00004,00006
-0001,-0001,-0002,00001
00001,00006,00003,00004
