delta0,delta1,delta2,delta3,delta4
0016,0031,0026,0025,0023
0019,0033,0026,0025,0026
0021,0054,0033,0036,0035
0021,0067,0033,0036,0035
0028,0068,0033,0036,0038
0028,0088,0040,0040,0040
0028,0095,0040,0040,0040
0028,0095,0040,0041,0039
0028,0097,0041,0036,0038
0028,0097,0041,0036,0038
0025,0079,0037,0036,0037
0024,0078,0035,0031,0032
0024,0051,0033,0031,0032
0012,0024,0022,0021,0020
0012,0016,0021,0016,0015
0012,0012,0015,0007,0009
0004,0004,0001,0007,0006
0004,0003,0001,0003,0004
0004,0003,0001,0003,0004
0000,0003,0004,0003,0004
0000,0003,-001,0000,0001
0000,0003,-001,0000,0001
0002,0003,-001,0000,0001
0002,0002,-002,0002,0004
0002,0002,-002,0002,0004
-001,0002,-002,0002,0004
-001,0002,0001,0002,-002
-002,0002,0001,0002,-002
0000,0002,0000,0002,-001
0000,-001,-003,-002,0002
