delta0,delta1,delta2,delta3,delta4
0015,0035,0028,0031,0025
0020,0038,0028,0031,0029
0020,0045,0032,0034,0033
0021,0054,0032,0034,0033
0027,0055,0032,0034,0033
0027,0080,0040,0039,0039
0027,0080,0040,0039,0039
0023,0059,0032,0032,0033
0023,0055,0031,0032,0029
0023,0044,0031,0032,0029
0018,0037,0031,0031,0028
0018,0031,0027,0028,0025
0016,0031,0027,0028,0025
0013,0016,0020,0020,0022
0012,0014,0014,0017,0015
0010,0011,0014,0017,0015
0003,0004,0006,0015,0008
0003,0004,0006,0003,0007
0003,0004,0006,0003,0007
-002,-001,-002,0003,0007
-002,-001,-002,0000,0003
-002,-001,-002,0000,0003
0003,0005,0005,0000,0003
0003,0000,-002,0001,0001
0003,0000,-002,0001,0001
0001,0000,-002,0001,0001
0001,0001,-002,0002,0004
0001,0001,-002,0002,0004
0001,0001,0000,0002,0004
0001,0002,0001,0001,0002
