delta1,delta2,delta3,delta4
00001,00000,00000,00000
00000,00003,00001,00003
00003,00000,00000,00001
-0002,00000,00000,00002
00000,00001,00000,00001
00000,-0001,00000,00003
00000,-0002,-0001,00001
00002,-0001,00001,00002
00002,00003,00000,00002
00000,00001,00000,00002
00002,00001,00006,00001
00004,00001,00001,00005
00008,00003,00001,00010
00017,00005,00005,00018
00022,00008,00007,00023
00023,00008,00007,00023
00028,00008,00007,00021
00025,00008,00007,00021
00025,00008,00007,00018
00023,00008,00007,00018
00022,00021,00016,00014
00022,00021,00016,00014
00022,00004,00016,00014
00018,00020,00010,00007
00018,00019,00010,00007
00012,00013,00004,00003
00005,00013,00004,00003
00008,00013,00004,00003
00005,00013,00004,00003
00005,00013,00004,00003
00003,00013,00004,00003
00004,00004,00000,-0003
00001,00002,00001,00002
00004,00003,00000,00001
00001,00002,-0001,-0001
00000,00002,00001,00001
00001,00001,00002,00001
00001,00002,00001,00005
00002,00001,00000,00003
00001,00003,00000,00001
-0002,00000,00000,00001
00001,00002,00000,00001
00000,00001,00001,00001
00001,00000,-0001,00002
00001,00002,00001,00000
-0001,00001,00000,00001
00001,00001,00000,00002
-0002,00000,-0001,00002
00002,00002,-0001,00000
00001,00001,00000,00000
-0002,00000,-0001,00000
-0002,-0001,00001,00000
00000,00001,00000,00000
-0001,-0001,-0001,00002
00001,00002,00001,00000
