delta1,delta2,delta3,delta4
-0001,00001,00001,00000
00000,00001,00000,00002
-0003,00000,00000,00001
00000,00000,00001,00003
00004,00001,00000,00002
00000,00003,00001,00004
-0001,00002,00001,00000
-0001,00002,00001,00002
-0001,00007,00000,00002
00001,00001,00000,00002
00000,00002,00002,00003
00001,00003,00001,00003
00006,00004,00001,00005
00006,00004,00003,00008
00014,00006,00007,00031
00014,00006,00007,00051
00014,00006,00007,00074
00014,00006,00007,00079
00014,00006,00007,00060
00014,00006,00007,00041
00037,00073,00044,00030
00029,00076,00028,00030
00025,00059,00021,00030
00018,00038,00015,00030
00018,00026,00015,00030
00018,00020,00015,00030
00012,00013,00008,00007
00012,00013,00008,00002
00012,00013,00008,00003
00012,00013,00008,00004
00012,00013,00008,00004
00012,00013,00008,00004
00000,00004,00001,00003
00000,00006,00001,00001
00002,00003,00001,00002
00001,00003,00001,00001
00001,00002,00001,-0001
-0002,00004,00000,00004
00000,00001,00001,00004
00000,00002,00000,00001
00000,00001,-0001,00002
-0001,00000,00002,00002
-0001,00001,00003,00001
00002,00004,00001,00002
00000,00001,00002,00003
00000,00002,00001,00001
-0001,00001,00002,00003
00000,00003,00002,00004
-0001,-0004,00002,00003
-0001,00000,00003,00002
00000,00003,00000,00002
-0002,00000,00001,00003
00000,00001,-0002,00003
00000,00004,-0003,00003
00001,00000,00001,00002
